number,base_fee_per_gas
14688420,189875956659
14688421,173610147285
14688422,169386143074
14688423,169132927728
14688424,190254346384
14688425,189493296966
14688426,176782235042
14688427,165075454048
14688428,163105298307
14688429,169676887484
14688430,153101084083
14688431,136257832224
14688432,148640314959
14688433,160084908214
14688434,141312471410
14688435,137744759377
14688436,150320310668
14688437,144883128990
14688438,132847529114
14688439,117315604437
14688440,112460172597
14688441,126517121940
14688442,121112899023
14688443,136236243236
14688444,153247178493
14688445,148637016805
14688446,139737650027
14688447,128602080132
14688448,144669481489
14688449,138774727553
14688450,143050066333
14688451,126459007877
14688452,116330963552
14688453,107005292325
14688454,99488611897
14688455,102212183649
14688456,102382614799
14688457,99452274203
14688458,98087286767
14688459,108083962128
14688460,112275187969
14688461,126294586822
14688462,117529521720
14688463,112914537184
14688464,105266325421
14688465,111955372661
14688466,102730109077
14688467,93913588535
14688468,97146364888
14688469,87894767913
14688470,96786330814
14688471,100184378789
14688472,110097352572
14688473,101975102474
14688474,97132126813
14688475,108976167178
14688476,102609610284
14688477,115420346272
14688478,125440135484
14688479,141110035672
14688480,158741378508
14688481,144800980508
14688482,142708976789
14688483,130515506767
14688484,132469623001
14688485,138525995993
14688486,127492476102
14688487,125484024620
14688488,117665439213
14688489,109791168006
14688490,104403206693
14688491,109867344309
14688492,102019802814
14688493,94833879085
14688494,106673230555
14688495,112522165989
14688496,125191405854
14688497,111990989109
14688498,105193467715
14688499,99392715395
14688500,98581949966
14688501,89169590196
14688502,83056690516
14688503,93426699684
14688504,92291717209
14688505,80996494647
14688506,73430472364
14688507,69394772540
14688508,78062474309
14688509,75188388621
14688510,71906467384
14688511,64882198945
14688512,67985068699
14688513,63437045662
14688514,67582057340
14688515,69073588275
14688516,60439389741
14688517,59362065437
14688518,54617250604
14688519,60828359802
14688520,54107350182
14688521,59816511910
14688522,61525011161
14688523,65850057942
14688524,65696153661
14688525,63631368444
14688526,71584014751
14688527,80520444442
14688528,78004982403
14688529,68254359603
14688530,75912081261
14688531,70072271876
14688532,67113497642
14688533,75502072995
14688534,84887652007
14688535,85606985765
14688536,78438943060
14688537,88242560408
14688538,87057628277
14688539,77291519340
14688540,72753277728
14688541,65589017895
14688542,59887332338
14688543,56530109976
14688544,61245627043
14688545,63419114407
14688546,64912987584
14688547,73019945213
14688548,72459953514
14688549,81506291249
14688550,83095289927
14688551,82016136937
14688552,89484188049
14688553,84890136203
14688554,95497138206
14688555,86769613364
14688556,97615616187
14688557,97990085959
14688558,88472152943
14688559,81478016383
14688560,91660618831
14688561,101791833421
14688562,90875179796
14688563,96092240891
14688564,91489924438
14688565,101385497205
14688566,93941586296
14688567,92707638509
14688568,100809515868
14688569,98002213634
14688570,105189308719
14688571,95783164136
14688572,98134262903
14688573,97091978518
14688574,94625616982
14688575,93792909955
14688576,105485283397
14688577,100497083010
